market,benchmark,version,version_label,candidate_id,label,group,kind,top_cagr,active_cagr,top_worst_cagr,top_worst_terminal,robust_score,coverage,turnover,start_date,end_date,series_points,component_count,subset_keys,thesis,economics,source_run,source_document
eu-small,MSCI EUR SMALL,old,旧基线,eu_small_syn_subset_ee96431827,quality_improvement + deleveraging + value_improvement,旧基线 · 最新核心组合,family_subset,0.1622333992497269,0.07981122012135611,0.1941578954033385,30.453454870179105,25.321209122358464,0.8311274242966235,0.400225849107003,2007-04-30,2026-07-31,232,10,quality_improvement|deleveraging|value_improvement,3-bucket subset,利润率或 ROE 改善表明经营效率正在变好，可过滤静态高质量但边际恶化的公司。 去杠杆降低再融资、违约和股权稀释风险；这一机制在融资渠道更窄的小盘公司中尤其重要。 估值相对自身历史变得更便宜，表达的是折价正在形成而非长期停留在便宜状态；仍需基本面催化。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\eu-small-factor-explorer.html
eu-small,MSCI EUR SMALL,old,旧基线,eu_small_syn_subset_08e95a53d5,quality_improvement + deleveraging,旧基线 · 最新核心组合,family_subset,0.1636370326496488,0.08111531196310762,0.2020919481098986,34.59438990182328,24.97607396679472,0.8360498934631476,0.3524048069739258,2007-04-30,2026-07-31,232,7,quality_improvement|deleveraging,2-bucket subset,利润率或 ROE 改善表明经营效率正在变好，可过滤静态高质量但边际恶化的公司。 去杠杆降低再融资、违约和股权稀释风险；这一机制在融资渠道更窄的小盘公司中尤其重要。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\eu-small-factor-explorer.html
eu-small,MSCI EUR SMALL,old,旧基线,eu_small_syn_full_bucket_equal,all selected buckets equal-weight,旧基线 · 最新核心组合,full_model,0.13830134535571936,0.05757635719969123,0.18176320942852042,24.9113707902154,18.33185309786658,0.9784126786630792,0.3164495285762379,2007-04-30,2026-07-31,232,17,,full selected synergy model,盈利预期上修捕捉信息扩散和分析师纠错，是基本面改善能否进入市场定价的确认层。 价格动量确认投资者已开始吸收新信息，可减少过早押注尚未被市场认可的变化。 近端盈利增长代表兑现能力，但欧洲小盘的广义 growth 证据较弱，只宜作为有门槛的补充信号。 利润率或 ROE 改善表明经营效率正在变好，可过滤静态高质量但边际恶化的公司。 远期盈利收益率改善提供估值纪律，避免为改善预期支付过高价格。 去杠杆降低再融资、违约和股权稀释风险；这一机制在融资渠道更窄的小盘公司中尤其重要。 估值相对自身历史变得更便宜，表达的是折价正在形成而非长期停留在便宜状态；仍需基本面催化。 波动下降主要是风险过滤器；单独作为 alpha 核心的证据弱于质量改善和去杠杆。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\eu-small-factor-explorer.html
eu-small,MSCI EUR SMALL,old,旧基线,eu_small_syn_subset_e797b03b9e,quality_improvement + value_improvement,旧基线 · 领先 family subset,family_subset,0.15703924666047242,0.0749854215782062,0.19640606374431946,31.576431604806604,23.8761266571706,0.968007838623886,0.4022186153938439,2007-04-30,2026-07-31,232,7,quality_improvement|value_improvement,2-bucket subset,利润率或 ROE 改善表明经营效率正在变好，可过滤静态高质量但边际恶化的公司。 估值相对自身历史变得更便宜，表达的是折价正在形成而非长期停留在便宜状态；仍需基本面催化。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\eu-small-factor-explorer.html
eu-small,MSCI EUR SMALL,old,旧基线,eu_small_syn_loo_without_growth,full model without growth,旧基线 · 最新 leave-one-out,leave_one_out,0.14245816921152898,0.06143839131647777,0.18743657512449174,27.317573820139646,20.504307345032675,0.9778527769569342,0.3366346320296864,2007-04-30,2026-07-31,232,16,,leave one bucket out: growth,盈利预期上修捕捉信息扩散和分析师纠错，是基本面改善能否进入市场定价的确认层。 价格动量确认投资者已开始吸收新信息，可减少过早押注尚未被市场认可的变化。 利润率或 ROE 改善表明经营效率正在变好，可过滤静态高质量但边际恶化的公司。 远期盈利收益率改善提供估值纪律，避免为改善预期支付过高价格。 去杠杆降低再融资、违约和股权稀释风险；这一机制在融资渠道更窄的小盘公司中尤其重要。 估值相对自身历史变得更便宜，表达的是折价正在形成而非长期停留在便宜状态；仍需基本面催化。 波动下降主要是风险过滤器；单独作为 alpha 核心的证据弱于质量改善和去杠杆。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\eu-small-factor-explorer.html
eu-small,MSCI EUR SMALL,old,旧基线,eu_small_syn_subset_6d32f9616c,quality_improvement + earnings_yield_improvement + deleveraging,旧基线 · 领先 family subset,family_subset,0.1591433459877385,0.07694030436104349,0.18328497835999547,25.536278869175973,20.447552342493044,0.8307697093176976,0.413119940643546,2007-04-30,2026-07-31,232,10,quality_improvement|earnings_yield_improvement|deleveraging,3-bucket subset,利润率或 ROE 改善表明经营效率正在变好，可过滤静态高质量但边际恶化的公司。 远期盈利收益率改善提供估值纪律，避免为改善预期支付过高价格。 去杠杆降低再融资、违约和股权稀释风险；这一机制在融资渠道更窄的小盘公司中尤其重要。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\eu-small-factor-explorer.html
eu-small,MSCI EUR SMALL,old,旧基线,eu_small_syn_subset_b3c0d0fc7d,revision + quality_improvement + deleveraging,旧基线 · 领先 family subset,family_subset,0.15731508504171687,0.07524169831160599,0.18298913370826608,25.41363948432375,19.63957254423689,0.8228610977184005,0.313648988414151,2007-04-30,2026-07-31,232,8,revision|quality_improvement|deleveraging,3-bucket subset,盈利预期上修捕捉信息扩散和分析师纠错，是基本面改善能否进入市场定价的确认层。 利润率或 ROE 改善表明经营效率正在变好，可过滤静态高质量但边际恶化的公司。 去杠杆降低再融资、违约和股权稀释风险；这一机制在融资渠道更窄的小盘公司中尤其重要。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\eu-small-factor-explorer.html
eu-small,MSCI EUR SMALL,old,旧基线,eu_small_syn_subset_af05547f2a,pmom + quality_improvement + value_improvement,旧基线 · 领先 family subset,family_subset,0.14381077226544448,0.06269507173448274,0.19602456007464286,31.383142033914318,19.367050634413857,0.9586605906963,0.3380124712282996,2007-04-30,2026-07-31,232,8,pmom|quality_improvement|value_improvement,3-bucket subset,价格动量确认投资者已开始吸收新信息，可减少过早押注尚未被市场认可的变化。 利润率或 ROE 改善表明经营效率正在变好，可过滤静态高质量但边际恶化的公司。 估值相对自身历史变得更便宜，表达的是折价正在形成而非长期停留在便宜状态；仍需基本面催化。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\eu-small-factor-explorer.html
eu-small,MSCI EUR SMALL,old,旧基线,eu_small_syn_loo_without_risk_decline,full model without risk_decline,旧基线 · 最新 leave-one-out,leave_one_out,0.1429917327882766,0.061934116131469485,0.18443021782513336,26.016336820374374,19.361917036938824,0.9769351602718632,0.3259515183403854,2007-04-30,2026-07-31,232,16,,leave one bucket out: risk_decline,盈利预期上修捕捉信息扩散和分析师纠错，是基本面改善能否进入市场定价的确认层。 价格动量确认投资者已开始吸收新信息，可减少过早押注尚未被市场认可的变化。 近端盈利增长代表兑现能力，但欧洲小盘的广义 growth 证据较弱，只宜作为有门槛的补充信号。 利润率或 ROE 改善表明经营效率正在变好，可过滤静态高质量但边际恶化的公司。 远期盈利收益率改善提供估值纪律，避免为改善预期支付过高价格。 去杠杆降低再融资、违约和股权稀释风险；这一机制在融资渠道更窄的小盘公司中尤其重要。 估值相对自身历史变得更便宜，表达的是折价正在形成而非长期停留在便宜状态；仍需基本面催化。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\eu-small-factor-explorer.html
eu-small,MSCI EUR SMALL,old,旧基线,eu_small_syn_subset_e5c1a446e9,revision + quality_improvement + value_improvement,旧基线 · 领先 family subset,family_subset,0.14610023299352348,0.06482217063200424,0.18703990279652705,27.142416321075494,18.685646567229018,0.9527194114810956,0.352549765146251,2007-04-30,2026-07-31,232,8,revision|quality_improvement|value_improvement,3-bucket subset,盈利预期上修捕捉信息扩散和分析师纠错，是基本面改善能否进入市场定价的确认层。 利润率或 ROE 改善表明经营效率正在变好，可过滤静态高质量但边际恶化的公司。 估值相对自身历史变得更便宜，表达的是折价正在形成而非长期停留在便宜状态；仍需基本面催化。,C:\GoogleDrive\TP\07_backtest_code\runs\ad_hoc\eu_small_relative_synergy_20260709,C:\GoogleDrive\TP\09_reports\factor_explorer_sources\eu-small-factor-explorer.html
